Name,Rating,Genre,Release date,Runtime,Director,Url
Avengers Grimm,43.0,"Action,Fantasy",03/17/2015 (US),1h 30m,Jeremy M. Inman,https://www.themoviedb.org//movie/323660
Prisoners,80.0,"Drama,Thriller,Crime",09/27/2013 (IN),2h 33m,Denis Villeneuve,https://www.themoviedb.org//movie/146233
Sex Stories,80.0,Drama,01/01/1999 (CL),2h 33m,Denis Villeneuve,https://www.themoviedb.org//movie/422585
Cinderella II: Dreams Come True,61.0,"Family,Animation,Romance,Fantasy",02/23/2002 (NL),1h 14m,John Kafka,https://www.themoviedb.org//movie/14128
Escape Room,65.0,"Horror,Thriller,Mystery",01/04/2019 (US),1h 40m,Bragi Schut,https://www.themoviedb.org//movie/522681
The SpongeBob Movie: Sponge Out of Water,61.0,"Family,Adventure,Comedy,Fantasy,Animation",02/06/2015 (US),1h 32m,Stephen Hillenburg,https://www.themoviedb.org//movie/228165
Marvel One-Shot: Item 47,65.0,"Science Fiction,Action,Fantasy",09/13/2012 (DE),12m,Louis D'Esposito,https://www.themoviedb.org//movie/119569
Halloween,62.0,Horror,08/31/2007 (US),1h 49m,Rob Zombie,https://www.themoviedb.org//movie/2082
One Piece 3D: Straw Hat Chase,67.0,Animation,03/19/2011 (US),30m,Hiroyuki Satou,https://www.themoviedb.org//movie/79082
Barbie and the Magic of Pegasus 3-D,70.0,"Animation,Family,Romance",10/05/2005 (US),1h 25m,Greg Richardson,https://www.themoviedb.org//movie/15906
The Empire of Corpses,61.0,"Animation,Mystery,Horror,Science Fiction",10/02/2015 (JP),2h,Ryoutarou Makihara,https://www.themoviedb.org//movie/342588
Sky Sharks,51.0,"Horror,Comedy,Science Fiction",08/26/2021 (DE),1h 30m,Marc Fehse,https://www.themoviedb.org//movie/320846
American Pie Presents: Band Camp,55.0,Comedy,12/30/2005 (US),1h 34m,Adam Herz,https://www.themoviedb.org//movie/8274
Spider-Man Strikes Back,52.0,"Action,Adventure,Family,Fantasy,TV Movie",12/21/1978 (CO),1h 30m,Steve Ditko,https://www.themoviedb.org//movie/225925
