Name,Rating,Genre,Release date,Runtime,Director,Budget ($),Revenue ($) ,Url
Terminator: Dark Fate,65.0,"Action,Adventure,Science Fiction,Thriller",11/01/2019 (US),2h 8m,James Cameron,"$185,000,000.00","$261,119,292.00",https://www.themoviedb.org//movie/290859
The Heat,66.0,"Action,Comedy,Crime",06/28/2013 (IN),1h 57m,Paul Feig,"$43,000,000.00","$158,674,180.00",https://www.themoviedb.org//movie/136795
Viking Quest,44.0,"Action,Adventure,Fantasy,TV Movie",10/07/2014 (CA),1h 28m,Todor Chapkanov,-,-,https://www.themoviedb.org//movie/317960
Wrong Turn,63.0,"Horror,Thriller",05/30/2003 (US),1h 24m,Rob Schmidt,"$12,600,000.00","$28,650,575.00",https://www.themoviedb.org//movie/9902
Elysium,65.0,"Science Fiction,Action,Drama,Thriller",08/16/2013 (IN),1h 49m,Neill Blomkamp,"$115,000,000.00","$286,140,700.00",https://www.themoviedb.org//movie/68724
Men in Black: International,60.0,"Comedy,Science Fiction",06/14/2019 (IN),1h 55m,Lowell Cunningham,"$110,000,000.00","$252,608,480.00",https://www.themoviedb.org//movie/479455
Bingo Hell,53.0,Thriller,10/01/2021 (US),1h 25m,Gigi Saúl Guerrero,-,-,https://www.themoviedb.org//movie/802226
Knives Out,79.0,"Comedy,Drama,Crime,Mystery",11/27/2019 (IN),2h 11m,Rian Johnson,"$40,000,000.00","$309,232,797.00",https://www.themoviedb.org//movie/546554
Gone Girl,79.0,"Mystery,Thriller,Drama",10/31/2014 (IN),2h 29m,Gillian Flynn,"$61,000,000.00","$369,330,363.00",https://www.themoviedb.org//movie/210577
Bloodshot,68.0,"Action,Science Fiction",03/13/2020 (IN),1h 50m,Jeff Wadlow,"$42,000,000.00","$33,542,457.00",https://www.themoviedb.org//movie/338762
The Amityville Harvest,74.0,Horror,10/20/2020 (US),1h 38m,Thomas J. Churchill,-,-,https://www.themoviedb.org//movie/732472
The Wild,55.0,"Family,Animation",04/14/2006 (US),1h 35m,Philip Halprin,"$80,000,000.00","$37,384,046.00",https://www.themoviedb.org//movie/9904
Ghosts of Girlfriends Past,59.0,"Fantasy,Comedy,Romance",05/01/2009 (US),1h 55m,Mark Waters,-,"$102,223,269.00",https://www.themoviedb.org//movie/12556
Justice League Dark: Apokolips War,84.0,"Animation,Action,Adventure,Fantasy,Science Fiction",05/05/2020 (US),1h 30m,Mairghread Scott,-,-,https://www.themoviedb.org//movie/618344
RED 2,65.0,"Action,Comedy,Crime,Thriller",07/18/2013 (IN),1h 56m,Dean Parisot,"$84,000,000.00","$148,100,000.00",https://www.themoviedb.org//movie/146216
Bankrolled,65.0,Comedy,07/23/2021 (CA),1h 37m,Marcos Bucay,Language,-,https://www.themoviedb.org//movie/845422
Mermaid Down,67.0,"Horror,Fantasy,Mystery,Thriller",10/15/2019 (US),1h 31m,Jeffrey Grellman,-,-,https://www.themoviedb.org//movie/504631
Alvin and the Chipmunks: The Squeakquel,57.0,"Comedy,Family,Animation,Fantasy,Music",12/23/2009 (US),1h 28m,Ross Bagdasarian,"$75,000,000.00","$443,140,005.00",https://www.themoviedb.org//movie/23398
Mamma Mia!,70.0,"Comedy,Romance",07/18/2008 (US),1h 48m,Phyllida Lloyd,"$52,000,000.00","$609,841,637.00",https://www.themoviedb.org//movie/11631
Guardians,48.0,"Action,Fantasy,Science Fiction",02/24/2017 (IN),1h 40m,Sarik Andreasyan,Language,"$5,400,000.00",https://www.themoviedb.org//movie/354556
Piranha 3D,54.0,"Comedy,Horror",08/20/2010 (US),1h 28m,Alexandre Aja,"$24,000,000.00","$83,188,165.00",https://www.themoviedb.org//movie/43593
Joseph: King of Dreams,66.0,"Family,Animation",11/07/2000 (US),1h 15m,Robert C. Ramirez,-,-,https://www.themoviedb.org//movie/16366
Hereditary,72.0,"Horror,Mystery,Thriller",06/21/2018 (IN),2h 7m,Ari Aster,"$10,000,000.00","$80,239,658.00",https://www.themoviedb.org//movie/493922
Leprechaun,56.0,"Comedy,Horror,Thriller",01/08/1993 (US),1h 32m,Mark Jones,"$900,000.00","$8,556,940.00",https://www.themoviedb.org//movie/11811
After.Life,62.0,"Drama,Horror,Mystery,Thriller",08/26/2010 (NL),1h 44m,Agnieszka Wojtowicz-Vosloo,"$4,500,000.00","$3,606,395.00",https://www.themoviedb.org//movie/36419
High School,58.0,Comedy,06/03/2010 (US),1h 39m,John Stalberg Jr.,"$10,000,000.00","$221,590.00",https://www.themoviedb.org//movie/27584
Books of Blood,67.0,"Horror,Science Fiction",10/07/2020 (US),1h 47m,Brannon Braga,-,-,https://www.themoviedb.org//movie/715123
Bridge to Terabithia,73.0,"Adventure,Drama,Family",02/16/2007 (US),1h 36m,Gábor Csupó,"$60,000,000.00","$137,587,063.00",https://www.themoviedb.org//movie/1265
Death Note,42.0,"Fantasy,Thriller,Crime,Drama,Horror",08/25/2017 (US),1h 41m,Adam Wingard,"$40,000,000.00",-,https://www.themoviedb.org//movie/351460
Innocent Witness,77.0,Drama,02/13/2019 (KR),2h 9m,Lee Han,Language,-,https://www.themoviedb.org//movie/570508
Frankenweenie,69.0,"Animation,Comedy,Family",10/05/2012 (US),1h 27m,Tim Burton,"$39,000,000.00","$81,493,846.00",https://www.themoviedb.org//movie/62214
Monsters vs Aliens,62.0,"Animation,Family,Adventure,Science Fiction",03/26/2009 (US),1h 34m,Rob Letterman,"$175,000,000.00","$381,509,870.00",https://www.themoviedb.org//movie/15512
Trolls Holiday,67.0,"Adventure,Animation,Comedy,Family,TV Movie,Fantasy,Music",12/02/2017 (DE),26m,Joel Crawford,-,-,https://www.themoviedb.org//movie/484510
Death Note,70.0,"Fantasy,Mystery,Thriller",06/17/2006 (US),2h 6m,Shusuke Kaneko,Language,"$20,000,000.00",https://www.themoviedb.org//movie/16007
The Thing,80.0,"Horror,Mystery,Science Fiction",06/25/1982 (US),1h 49m,John Carpenter,"$15,000,000.00","$19,629,760.00",https://www.themoviedb.org//movie/1091
A Week Away,71.0,"Drama,Family,Music,Romance",03/26/2021 (US),1h 34m,Alan Powell,-,-,https://www.themoviedb.org//movie/699102
"Love, Chunibyo & Other Delusions! Take On Me",78.0,"Animation,Comedy,Fantasy",01/06/2018 (JP),1h 34m,Tatsuya Ishihara,Language,-,https://www.themoviedb.org//movie/460399
What Men Want,62.0,"Comedy,Romance",02/08/2019 (US),1h 57m,Tina Gordon Chism,"$20,000,000.00","$69,766,483.00",https://www.themoviedb.org//movie/487297
Be Careful What You Wish For,67.0,Horror,04/24/2020 (MX),1h 31m,Agustín Oso Tapia,Language,-,https://www.themoviedb.org//movie/681429
Once Upon a Time… in Hollywood,74.0,"Comedy,Drama,Thriller",07/26/2019 (IN),2h 42m,Quentin Tarantino,"$95,000,000.00","$374,251,247.00",https://www.themoviedb.org//movie/466272
Saw VI,63.0,"Horror,Mystery",10/23/2009 (US),1h 36m,Kevin Greutert,"$11,000,000.00","$68,233,629.00",https://www.themoviedb.org//movie/22804
Marvel One-Shot: Item 47,65.0,"Science Fiction,Action,Fantasy",09/13/2012 (DE),12m,Louis D'Esposito,-,-,https://www.themoviedb.org//movie/119569
The Scorpion King 3: Battle for Redemption,45.0,"Action,Adventure,Fantasy,Drama",01/17/2012 (US),1h 46m,Roel Reiné,"$5,000,000.00",-,https://www.themoviedb.org//movie/78049
I've Always Liked You,76.0,"Animation,Drama,Romance",04/23/2016 (JP),1h 3m,Tetsuya Yanagisawa,Language,-,https://www.themoviedb.org//movie/374853
Wizards of Waverly Place: The Movie,66.0,"Family,TV Movie,Adventure,Comedy,Drama,Fantasy",08/28/2009 (US),1h 34m,Lev L. Spiro,-,-,https://www.themoviedb.org//movie/26736
The Transporter,67.0,"Action,Crime,Thriller",10/02/2002 (US),1h 32m,Corey Yuen,"$21,000,000.00","$43,928,932.00",https://www.themoviedb.org//movie/4108
Krampus,61.0,"Horror,Comedy,Fantasy",12/04/2015 (US),1h 38m,Michael Dougherty,"$15,000,000.00","$61,788,393.00",https://www.themoviedb.org//movie/287903
Barbie Mariposa & the Fairy Princess,70.0,"Animation,Family,Fantasy",08/27/2013 (US),1h 15m,William Lau,-,-,https://www.themoviedb.org//movie/196254
Harry Potter: A History Of Magic,69.0,Documentary,10/28/2017 (GB),1h,Jude Ho,-,-,https://www.themoviedb.org//movie/482408
A Cinderella Story: If the Shoe Fits,72.0,"Comedy,Family,Fantasy,Music",08/02/2016 (US),1h 32m,Michelle Johnston,-,-,https://www.themoviedb.org//movie/407655
Scooby-Doo! Camp Scare,80.0,"Animation,Comedy,Family,Mystery",09/14/2010 (US),1h 12m,Ethan Spaulding,-,-,https://www.themoviedb.org//movie/45752
